Startup_ID,Startup_Name,Employee_Count,Monthly_Visits,Google_Trends_Score,App_Downloads,App_Rating,App_Reviews_Count,TAM,TAM_Growth_Rate,Market_Size_Category
ST001,Razorpay,"~3,400",~32M monthly,74,~10M+,4.2,~115K,$35 Bn,18%,Very Large
ST002,CRED,"~1,100",~4.5M monthly,58,~50M+,4.6,~1.2M,$12 Bn,22%,Large
ST003,Groww,"~2,100",~41M monthly,88,~100M+,4.5,~1.8M,$25 Bn,25%,Very Large
ST004,Pine Labs,"~3,800",~1.8M monthly,22,~5M+,4,~45K,$40 Bn,14%,Very Large
ST005,Open,~450,~320K monthly,12,~1M+,3.8,~8.5K,$4 Bn,30%,Medium
ST006,Jupiter,~550,~1.2M monthly,31,~10M+,4.4,~220K,$8 Bn,28%,Large
ST007,Fi Money,~400,~850K monthly,25,~10M+,4.3,~180K,$8 Bn,28%,Large
ST008,MobiKwik,~950,~8.5M monthly,45,~100M+,4.1,~1.9M,$35 Bn,18%,Very Large
ST009,Blinkit,"~4,500",~14M monthly,92,~50M+,4.6,~1.5M,$60 Bn,45%,Very Large
ST010,Zepto,"~4,200",~11M monthly,95,~50M+,4.6,~1.1M,$60 Bn,45%,Very Large
ST011,Swiggy Instamart,"~1,800 (Direct)",~18M,84,~60M+,4.5,~850K,$60 Bn,45%,Very Large
ST012,BigBasket,"~2,600",~12M,52,~50M+,4.3,~720K,$55 Bn,28%,Very Large
ST013,BB Now,~450,~4M (Within BB),18,~10M+,4.2,~40K,$45 Bn,35%,Large
ST014,Flipkart Minutes,~600,~25M (Segment),48,~5M+,4.4,~120K,$60 Bn,42%,Very Large
ST015,Meesho,"~1,350",~45M,89,~150M+,4.4,~2.4M,$85 Bn,24%,Very Large
ST016,Myntra,"~2,400",~48M,78,~100M+,4.3,~1.8M,$40 Bn,18%,Very Large
ST017,Nykaa,"~2,100",~16M,64,~50M+,4.5,~950K,$18 Bn,22%,Large
ST018,Brainbees (FirstCry),"~2,900",~15M,55,~20M+,4.4,~410K,$12 Bn,15%,Large
ST019,Lenskart,"~4,200",~8M,62,~15M+,4.5,~380K,$11 Bn,16%,Large
ST020,Pepperfry,~700,~3.5M,24,~5M+,4.1,~85K,$4.5 Bn,12%,Medium
ST021,Physics Wallah,"~3,200",~22M,86,~20M+,4.7,~650K,$14 Bn,20%,Large
ST022,Unacademy,"~1,400",~9M,42,~15M+,4.2,~480K,$14 Bn,15%,Large
ST023,upGrad,"~1,850",~3.1M,28,~2M+,4,~35K,$3.8 Bn,22%,Medium
ST024,Vedantu,~850,~4.5M,30,~10M+,4.1,~140K,$8.5 Bn,10%,Medium
ST025,Classplus,~650,~1.2M,14,~5M+,4.3,~68K,$2.5 Bn,32%,Medium
ST026,CollegeDekho,~750,~5.2M,21,~500K+,4.2,~12K,$1.2 Bn,18%,Medium
ST027,Delhivery,"~4,800",~6.5M,36,~1M+,3.9,~45K,$32 Bn,14%,Very Large
ST028,Shiprocket,~950,~4.8M,33,~5M+,4.2,~92K,$15 Bn,25%,Large
ST029,Xpressbees,"~2,200",~2.1M,19,~500K+,3.8,~18K,$22 Bn,16%,Very Large
ST030,Shadowfax,"~1,600",~1.4M,24,~5M+,4.1,~78K,$18 Bn,22%,Large
