,,,,,,,,,,,,,
Startup_ID,Startup_Name,Total_Funding_Raised,Latest_Funding_Amount,Latest_Funding_Round,Latest_Funding_Date,Number_of_Funding_Rounds,Funding_Timeline,Investors_List,Last_Funding_Lead_Investor,Valuation,Revenue,Profit_or_Loss,Gross_Margin
ST101,CarTrade,~$307 Mn,"₹2,000 Cr",IPO,Aug-21,10,Series A → B → C → D → E → IPO,"Warburg Pincus, Temasek, Tiger Global, March Capital",Public Issue / Market Cap,"~₹3,800 Cr (M-Cap)",₹562 Cr (FY25),Profit: ₹38 Cr (FY25),~68%
ST102,Droom,~$341 Mn,$20 Mn,Series F,Jul-21,9,Seed → Series A → B → C → D → E → F,"Lightbox, Beenext, Integrated Asset Management, Digital Garage",57 Stars,~$1.2 Bn,₹280 Cr (FY24),Loss: -₹135 Cr (FY24),~22%
ST103,Park+,~$54 Mn,$17 Mn,Series C,Dec-22,5,Seed → Series A → B → C,"Peak XV, Matrix Partners India, Epiq Capital, Union Square",Epiq Capital,~$340 Mn,₹140 Cr (FY24),Loss: -₹85 Cr (FY24),~35%
ST104,OTO Capital,~$18 Mn,$10 Mn,Series A,Feb-24,4,Seed → Pre-Series A → Series A,"Matrix Partners India, Prime Venture Partners, Venture Catalysts",Stride Ventures,~$75 Mn,₹45 Cr (FY24),Loss: -₹28 Cr (FY24),~28%
ST105,GoMechanic,~$62 Mn,₹250 Cr,Series C,Mar-23,6,Seed → Series A → B → C,"Peak XV, Tiger Global, Chiratae Ventures, Orios Venture",Lifelong Group (Acquirer),~$30 Mn,₹210 Cr (FY24),Loss: -₹42 Cr (FY24),~18%
ST106,Kuwy,~$12 Mn,$5 Mn,Series A,Aug-21,3,Seed → Series A → Corporate Acq,"Volkswagen Finance India, Nordea Finance",Volkswagen Finance,~$45 Mn,₹65 Cr (FY24),Profit: ₹4 Cr (FY24),~32%
ST107,Fixcraft,~$5 Mn,$1.2 Mn,Pre-Series A,Mar-23,3,Seed → Angel → Pre-Series A,"IPV, Mango Accelerator, Angel Investors",Inflection Point Ventures,~$20 Mn,₹22 Cr (FY24),Loss: -₹8 Cr (FY24),~25%
ST108,Cardekho Gaadi,N/A (Parent),N/A (Parent),Corporate Internal,Jan-19,N/A,Parent Capital Infusion,CarDekho Group (Girnar Software),CarDekho (Parent),N/A,₹320 Cr (FY24),Loss: -₹45 Cr (FY24),~20%
ST109,Kuku FM,~$72 Mn,$25 Mn,Series C,Sep-23,5,Seed → Series A → B → C,"BGV, Vertex Ventures, Elevation Capital, Paramark Ventures",FundersClub / BGV,~$250 Mn,₹88 Cr (FY24),Loss: -₹115 Cr (FY24),~65%
ST110,Pocket FM,~$196 Mn,$103 Mn,Series D,Mar-24,6,Seed → Series A → B → C → D,"Lightspeed, StepStone Group, Tanglin Venture Partners",Lightspeed Venture Partners,~$750 Mn,₹650 Cr (FY25),Loss: -₹180 Cr (FY25),~70%
ST111,Yulu,~$124 Mn,$19.2 Mn,Series B Ext,Feb-24,8,Seed → Series A → B → B Ext,"Magna International, Bajaj Auto, Wavemaker Partners",Magna International,~$220 Mn,₹123 Cr (FY24),Loss: -₹95 Cr (FY24),~28%
ST112,ShareChat,~$1.2 Bn,$49 Mn,Series H / Debt,Apr-24,12,Seed → Series A → B → C → D → E → F → G → H,"Lightspeed, Temasek, Google, Tiger Global, Moore Strategic","Lightspeed, Temasek",~$1.5 Bn,₹540 Cr (FY24),Loss: -₹920 Cr (FY24),~42%
ST113,CleverTap,~$182 Mn,$105 Mn,Series D,Aug-22,6,Seed → Series A → B → C → D,"CDPQ, Tiger Global, Peak XV, Accel",CDPQ,~$775 Mn,₹380 Cr (FY24),Loss: -₹62 Cr (FY24),~72%
ST114,Cult.fit,~$670 Mn,$10.2 Mn,Series F Ext,Feb-24,11,Series A → B → C → D → E → F,"Zomato, Temasek, Kalaari Capital, Tata Digital, Chiratae",Valecha Investments,~$1.5 Bn,₹690 Cr (FY24),Loss: -₹325 Cr (FY24),~38%
ST115,Acko Drive,N/A (Parent),N/A (Parent),Corporate Internal,Jan-19,N/A,Parent Capital Infusion,ACKO General Insurance (Parent),ACKO (Parent),N/A,₹85 Cr (FY24),Loss: -₹30 Cr (FY24),~24%
ST116,Dunzo,~$497 Mn,$50 Mn,Series E,Apr-23,11,Seed → Series A → B → C → D → E,"Reliance Retail, Google, Lightbox, Blume Ventures",Reliance Retail,~$200 Mn,₹180 Cr (FY24),"Loss: -₹1,200 Cr (FY24)",~10%
ST117,Milkbasket,~$33 Mn,₹120 Cr,Series B,Aug-21,7,Seed → Series A → B,"Reliance Retail, Kalaari Capital, Unilever Ventures",Reliance Retail (Acquirer),~$40 Mn,₹350 Cr (FY24),Profit: ₹8 Cr (FY24),~22%
ST118,Otipy,~$44 Mn,$32 Mn,Series B,Mar-22,4,Seed → Series A → B,"WestBridge Capital, SIG Venture Capital, Omidyar Network",WestBridge Capital,~$140 Mn,₹115 Cr (FY24),Loss: -₹48 Cr (FY24),~26%
ST119,Pluckk,~$10 Mn,$5 Mn,Series A,Jan-23,2,Seed → Series A,"Exponentia Ventures, Kareena Kapoor Khan",Exponentia Ventures,~$35 Mn,₹42 Cr (FY24),Loss: -₹18 Cr (FY24),~24%
ST120,Country Delight,~$300 Mn,$20 Mn,Series E,Jan-24,8,Seed → Series A → B → C → D → E,"Temasek, Matrix Partners India, Venturi Partners, Orios",Venturi Partners / Temasek,~$820 Mn,₹900 Cr (FY24),Loss: -₹120 Cr (FY24),~32%
ST121,Fraazo,~$65 Mn,$50 Mn,Series B,Oct-21,3,Seed → Series A → B,"WestBridge Capital, Sixteenth Street Capital, Equanimity",WestBridge Capital,~$120 Mn,₹15 Cr,Loss: -₹80 Cr (FY24),~12%
ST122,KisanKonnect,~$10 Mn,$4.2 Mn,Pre-Series A,Feb-24,3,Seed → Pre-Series A,"Green Frontier Capital, Shilpa Shetty, Angel Investors",Green Frontier Capital,~$30 Mn,₹120 Cr (FY24),Loss: -₹14 Cr (FY24),~25%
ST123,DeepRooted,~$16 Mn,$12.5 Mn,Series A,Sep-22,3,Seed → Series A,"IvyCap Ventures, Accel, Omnivore",IvyCap Ventures,~$45 Mn,₹55 Cr (FY24),Loss: -₹22 Cr (FY24),~22%
ST124,Tendercuts,~$19 Mn,₹80 Cr,Series A,Nov-23,4,Seed → Series A,"Paragon Partners, Nabventures",GoodToGo (Acquirer),~$25 Mn,₹80 Cr (FY24),Loss: -₹16 Cr (FY24),~28%
ST125,Fipola,~$15 Mn,$9 Mn,Series A,Jan-22,3,Seed → Series A,"CKR Holdings, Institutional Angels",CKR Holdings,~$20 Mn,₹10 Cr,Loss: -₹35 Cr (FY24),~15%
ST126,Supr Daily,~$18 Mn,₹150 Cr,Series A,May-22,4,Seed → Series A → Acq by Swiggy,"Swiggy, Y Combinator, Matrix Partners",Swiggy (Parent),N/A,₹210 Cr (FY24),Loss: -₹45 Cr (FY24),~20%
ST127,Livspace,~$450 Mn,$180 Mn,Series F,Feb-22,8,Series A → B → C → D → E → F,"KKR, Ingka Ventures (IKEA), Venturi Partners, Jungle",KKR,~$1.2 Bn,"₹1,150 Cr (FY24)",Loss: -₹380 Cr (FY24),~42%
ST128,Snoonu India,~$12 Mn,$5 Mn,Seed Round,Jan-23,2,Seed → Venture,"Qatar Development Bank, Regional VCs",QDB,~$30 Mn,₹18 Cr (FY24),Loss: -₹6 Cr (FY24),~18%
ST129,Ola Dash,N/A (Parent),N/A (Parent),Corporate Internal,Oct-21,N/A,Parent Capital Infusion,ANI Technologies (Ola),Ola (Parent),N/A,Discontinued,N/A,N/A
ST130,HomeLane,~$115 Mn,₹75 Cr,Series E Ext,Sep-23,8,Series A → B → C → D → E,"Accel, Peak XV, IIFL, Stride Ventures",IIFL Fintech Fund,~$260 Mn,₹610 Cr (FY24),Loss: -₹72 Cr (FY24),~38%
