,,,,,
Startup_ID,Startup_Name,Positive_News_Count,Negative_News_Count,Neutral_News_Count,Total_News_Count
ST101,CarTrade,248,15,115,378
ST102,Droom,106,15,43,164
ST103,Park+,169,11,78,258
ST104,OTO Capital,169,25,40,234
ST105,GoMechanic,77,228,52,357
ST106,Kuwy,78,10,48,136
ST107,Fixcraft,104,24,73,201
ST108,Cardekho Gaadi,78,25,47,150
ST109,Kuku FM,359,28,108,495
ST110,Pocket FM,334,33,115,482
ST111,Yulu,178,35,35,248
ST112,ShareChat,277,55,179,511
ST113,CleverTap,129,18,52,199
ST114,Cult.fit,199,58,133,390
ST115,Acko Drive,88,10,59,157
ST116,Dunzo,46,211,104,361
ST117,Milkbasket,134,29,56,219
ST118,Otipy,178,9,81,268
ST119,Pluckk,133,25,42,200
ST120,Country Delight,228,50,160,438
ST121,Fraazo,58,212,86,356
ST122,KisanKonnect,99,30,39,168
ST123,DeepRooted,80,29,49,158
ST124,Tendercuts,173,17,40,230
ST125,Fipola,54,145,74,273
ST126,Supr Daily,125,24,80,229
ST127,Livspace,121,13,58,192
ST128,Snoonu India,120,14,77,211
ST129,Ola Dash,109,30,78,217
ST130,HomeLane,157,10,73,240
ST131,Slice,261,55,158,474
ST132,Upstox,282,20,139,441
ST133,OneCard,228,62,171,461
ST134,Money View,163,25,49,237
ST135,KreditBee,162,18,88,268
ST136,Perfios,173,32,38,243
ST137,InCred,104,34,37,175
ST138,Yubi (CredAvenue),178,18,60,256
ST139,Oxyzo,109,10,48,167
ST140,Vivriti Capital,147,30,55,232
ST141,CoinSwitch,207,86,153,446
ST142,CoinDCX,230,86,148,464
ST143,Juspay,93,16,43,152
ST144,Indifi,106,31,70,207
ST145,Lendingkart,143,16,82,241
ST146,Rupeek,149,21,72,242
ST147,Jar,126,19,49,194
ST148,Mswipe,92,24,66,182
ST149,axio (Capital Float),86,32,38,156
ST150,PayU India,89,12,75,176
ST151,Fibe (EarlySalary),95,33,78,206
ST152,Stashfin,129,27,39,195
ST153,CASHe,124,20,73,217
ST154,Niyo,134,24,51,209
ST155,Progcap,145,35,35,215
ST156,KredX,162,31,42,235
ST157,Velocity,162,25,83,270
ST158,GetVantage,109,32,76,217
ST159,Klub,118,11,53,182
ST160,Smallcase,130,13,64,207
ST161,INDmoney,75,31,81,187
ST162,Scripbox,108,24,83,215
ST163,Kuvera,112,26,46,184
ST164,Wint Wealth,155,17,88,260
ST165,LiquiLoans,156,24,73,253
ST166,Turno,100,12,58,170
ST167,Revfin,172,13,69,254
ST168,Raise Financial (Dhan),174,24,35,233
ST169,ZestMoney,78,202,81,361
ST170,Faircent,77,11,58,146
ST171,Purplle,298,22,87,407
ST172,Licious,281,43,152,476
ST173,The Good Glamm Group,85,10,81,176
ST174,Wakefit,137,34,39,210
ST175,Sugar Cosmetics,172,25,84,281
ST176,WOW Skin Science,91,12,77,180
ST177,Minimalist,135,25,45,205
ST178,Plum Goodness,108,24,90,222
ST179,MCaffeine,152,21,48,221
ST180,The Man Company,159,16,85,260
ST181,Beardo,129,22,82,233
ST182,Man Matters (Mosaic),158,19,63,240
ST183,Kapiva,141,22,42,205
ST184,Snitch,106,15,39,160
ST185,Bewakoof,118,8,72,198
ST186,The Souled Store,145,15,72,232
ST187,Clovia,118,10,44,172
ST188,Zivame,170,11,54,235
ST189,BlueStone,237,43,84,364
ST190,CaratLane,132,12,72,216
ST191,Giva,280,23,142,445
ST192,Melorra,102,25,43,170
ST193,Nestasia,167,26,71,264
ST194,Beco,135,15,85,235
ST195,SuperBottoms,135,33,61,229
ST196,The Whole Truth,99,11,41,151
ST197,Slurrp Farm,159,21,57,237
ST198,Blue Tokai Coffee,129,21,64,214
ST199,Third Wave Coffee,168,9,78,255
ST200,Sleepy Owl Coffee,158,28,41,227
