Startup_ID,Startup_Name,sector,founded_year,headquarters,founder_count,funding_stage,current_status
ST101,CarTrade,Car Selling Platform / AutoTech,2009,"Mumbai, India",3,Public (NSE/BSE),Public
ST102,Droom,Car Selling Platform / AutoTech,2014,"Gurugram, India",1,Late Stage (Series F),Private
ST103,Park+,AutoTech / Car Services,2019,"Gurugram, India",2,Late Stage (Series C),Private
ST104,OTO Capital,AutoTech / Vehicle Financing,2018,"Bengaluru, India",2,Growth Stage (Series A),Private
ST105,GoMechanic,AutoTech / Auto Services,2016,"Gurugram, India",4,Late Stage (Series C),Acquired
ST106,Kuwy,AutoTech / Auto Fintech,2017,"Chennai, India",2,Growth Stage (Series A),Acquired
ST107,Fixcraft,AutoTech / Auto Services,2018,"Gurugram, India",2,Growth Stage (Series A),Private
ST108,Cardekho Gaadi,Car Selling Platform / AutoTech,2019,"Jaipur, India",2,Growth Stage (Backed by Parent),Subsidiary
ST109,Kuku FM,Audio / MediaTech,2018,"Mumbai, India",3,Late Stage (Series C),Private
ST110,Pocket FM,Audio / MediaTech,2018,"Bengaluru, India",3,Late Stage (Series D),Private
ST111,Yulu,CleanTech / Mobility,2017,"Bengaluru, India",4,Late Stage (Series B),Private
ST112,ShareChat,Social Media / Content,2015,"Bengaluru, India",3,Late Stage (Series H),Private
ST113,CleverTap,SaaS / MarTech,2013,"Mumbai, India",3,Late Stage (Series D),Private
ST114,Cult.fit,HealthTech / Fitness,2016,"Bengaluru, India",2,Late Stage (Series F),Private
ST115,Acko Drive,Car Selling Platform / AutoTech,2019,"Bengaluru, India",2,Growth Stage (Backed by Parent),Subsidiary
ST116,Dunzo,Quick Commerce,2014,"Bengaluru, India",4,Late Stage (Series E),Private
ST117,Milkbasket,Quick Commerce,2015,"Gurugram, India",4,Late Stage (Series B),Acquired
ST118,Otipy,Quick Commerce / Fresh Produce,2019,"Gurugram, India",1,Growth Stage (Series B),Private
ST119,Pluckk,Quick Commerce / Fresh Produce,2021,"Mumbai, India",2,Growth Stage (Series A),Private
