Startup_ID,Startup_Name,Positive_News_Count,Negative_News_Count,Neutral_News_Count,Total_News_Count
ST001,Razorpay,420,32,115,567
ST002,CRED,280,85,190,555
ST003,Groww,510,45,210,765
ST004,Pine Labs,215,12,88,315
ST005,Open,65,4,42,111
ST006,Jupiter,110,18,75,203
ST007,Fi Money,95,14,68,177
ST008,MobiKwik,240,38,112,390
ST009,Blinkit,890,112,340,1342
ST010,Zepto,940,145,380,1465
ST011,Swiggy Instamart,680,85,210,975
ST012,BigBasket,420,35,145,600
ST013,BB Now,190,15,65,270
ST014,Flipkart Minutes,310,22,95,427
ST015,Meesho,540,62,180,782
ST016,Myntra,380,24,115,519
ST017,Nykaa,410,55,160,625
ST018,Brainbees (FirstCry),220,28,90,338
ST019,Lenskart,460,18,130,608
ST020,Pepperfry,95,34,70,199
ST021,Physics Wallah,620,48,175,843
ST022,Unacademy,210,95,140,445
ST023,upGrad,240,42,110,392
ST024,Vedantu,115,38,85,238
ST025,Classplus,130,8,52,190
ST026,CollegeDekho,85,5,40,130
ST027,Delhivery,340,41,125,506
ST028,Shiprocket,210,14,80,304
ST029,Xpressbees,185,19,75,279
ST030,Shadowfax,180,22,65,267
ST031,Zomato,1240,115,420,1775
ST032,Swiggy,1080,95,380,1555
ST033,Swish,95,12,40,147
ST034,Magicpin,260,18,92,370
ST035,Rebel Foods,195,14,75,284
ST036,FreshMenu,65,22,45,132
ST037,EatSure,110,8,50,168
ST038,boAt,480,55,165,700
ST039,Noise,390,32,140,562
ST040,Boult,220,15,85,320
ST041,Fire-Boltt,250,24,90,364
ST042,Zerodha,680,35,210,925
ST043,PhonePe,980,42,310,1332
ST044,Angel One,410,28,150,588
ST045,Honasa (Mamaearth),290,65,120,475
ST046,Urban Company,340,48,115,503
ST047,LEAD School,90,10,48,148
ST048,Teachmint,75,15,42,132
ST049,Eruditus,160,12,68,240
ST050,BYJU'S,150,640,280,1070
ST051,Practo,140,15,60,215
ST052,PharmEasy,320,85,140,545
ST053,Tata 1mg,450,25,130,605
ST054,MediBuddy,125,12,55,192
ST055,Healthify,160,10,70,240
ST056,Curefoods,185,14,62,261
ST057,Porter,290,22,95,407
ST058,BlackBuck,140,18,50,208
ST059,Rivigo,55,42,38,135
ST060,BluSmart,380,45,110,535
ST061,Ola Electric,1120,340,450,1910
ST062,Ather Energy,680,52,210,942
ST063,Rapido,590,65,180,835
ST064,Namma Yatri,240,18,85,343
ST065,CarDekho,210,24,90,324
ST066,Cars24,260,38,115,413
ST067,Spinny,195,16,72,283
ST068,ACKO,280,14,88,382
ST069,Policybazaar,490,32,165,687
ST070,Digit Insurance,310,15,92,417
ST071,Navi,340,28,110,478
ST072,BharatPe,210,115,140,465
ST073,Paytm,850,420,510,1780
ST074,Cashfree Payments,165,14,68,247
ST075,OfBusiness,420,18,115,553
ST076,Infra.Market,290,24,88,402
ST077,Zetwerk,310,15,92,417
ST078,ElasticRun,110,12,45,167
ST079,Udaan,280,75,130,485
ST080,Ninjacart,175,16,58,249
ST081,DeHaat,190,10,62,262
ST082,AgroStar,145,8,50,203
ST083,Moglix,220,14,75,309
ST084,Khatabook,130,22,60,212
ST085,Dukaan,95,18,42,155
ST086,BrowserStack,260,8,95,363
ST087,Snapdeal,150,45,110,305
ST088,Chargebee,180,12,70,262
ST089,Hasura,115,5,48,168
ST090,InMobi,290,16,115,421
ST091,Dream11,640,85,230,955
ST092,MakeMyTrip,580,32,190,802
ST093,Goibibo,210,15,85,310
ST094,Yatra,165,18,72,255
ST095,TBO.com,140,10,55,205
ST096,ixigo,390,22,118,530
ST097,EaseMyTrip,310,55,125,490
ST098,OYO,620,95,240,955
ST099,Ola Cabs,540,110,210,860
ST100,Apna,195,24,78,297
