Startup_ID,Startup_Name,sector,founded_year,headquarters,founder_count,funding_stage,current_status,Total_Funding_Raised,Latest_Funding_Amount,Latest_Funding_Round,Latest_Funding_Date,Number_of_Funding_Rounds,Funding_Timeline,Investors_List,Last_Funding_Lead_Investor,Valuation,Revenue,Profit_or_Loss,Gross_Margin,Employee_Count,Monthly_Visits,Google_Trends_Score,App_Downloads,App_Rating,App_Reviews_Count,TAM,TAM_Growth_Rate,Market_Size_Category,Positive_News_Count,Negative_News_Count,Neutral_News_Count,Total_News_Count,Historical_Exit_Type,Exit_Year,Exit_Valuation_USD_Million,Acquirer_Name,Exit_Status,Exit_Reason,Years_to_Exit,Funding_Score,Financial_Health_Score,Growth_Score,Market_Opportunity_Score,Popularity_Score,Media_Buzz_Score,Sentiment_Score,Exit_Score,Startup_Age,Startup_Maturity_Score,Investor_Confidence_Score,Operational_Strength_Score,Competitive_Strength_Score,Valuation_Score,Overall_Startup_Score,Success_Label,Unicorn_Label,Startup_Category,Exit_Label,IPO_Label,Acquisition_Label,Risk_Label,Growth_Label,Funding_Requirement_Label,Funding_Stage_Label,Stage_Score,Funding_Stage_Name,Portfolio_Fit_Score,Portfolio_Fit_Label,Portfolio_Fit_Name,Investment_Score,Investment_Recommendation_Label,Investment_Recommendation_Name,Funding_Readiness_Score,Funding_Readiness_Label,Funding_Readiness_Name,Revenue_Normalized,Profit_Normalized,Margin_Normalized,Burn_Risk_Score,Burn_Risk_Label,Burn_Risk_Name,Valuation_Normalized,Valuation_Growth_Prediction,Funding_Rounds_Normalized,Follow_On_Funding_Probability,Reviews_Normalized,Rating_Normalized,Market_Leadership_Probability,Competitive_Survival_Probability,Predicted_Acquisition,Acquisition_Probability,Burn_Risk_Prediction,Burn_Risk_Confidence,Predicted_Exit,Exit_Probability,Predicted_Funding_Readiness,Funding_Readiness_Confidence,Predicted_Funding_Readiness_Name,Predicted_Funding_Requirement,Funding_Requirement_Probability,Predicted_Funding_Requirement_Name,Predicted_Funding_Stage,Funding_Stage_Confidence,Predicted_Funding_Stage_Name,Predicted_Growth_Potential,Growth_Potential_Probability,Predicted_Growth_Potential_Name,Predicted_Investment_Recommendation,Investment_Recommendation_Confidence,Predicted_Investment_Recommendation_Name,Predicted_Portfolio_Fit,Portfolio_Fit_Confidence,Predicted_Portfolio_Fit_Name,Predicted_Risk,Risk_Probability,Predicted_Risk_Name,Predicted_Unicorn,Unicorn_Probability,Success_Probability
ST001,Razorpay,FinTech,2014,"Bengaluru, India",2,Late Stage (Series F),Private,742.0,375.0,Series F,Dec 2021 (Extensions in 2024),11,Seed → Series A → B → C → D → E → F,"Peak XV, Tiger Global, Lightspeed, Y Combinator, Matrix Partners, TCV","TCV, Lone Pine Capital",7500,2501.0,34.0,38,3400,32000000,74,10000000,4.2,115000,35000,18,Very Large,420,32,115,567,Private,0,0,0,Active,Private,0.0,16.33852291,27.4649626,37.44428922,26.79610951,35.59864941,26.98369699,68.30985915,30.0,12,22.29022897,28.47929782,32.09288747,36.76857167,20.33281575,38.09588812,1,1,Good,0,0,0,0,1,0,1,43.09042172,Pre-Series A,39.19339728,3,Excellent Fit,32.66661676,3,Strong Invest,31.08652085,3,Highly Ready,6.560720434,56.0018859,35.8974359,70.49763482,1,Moderate Risk,26.72028597,32.05,39.28571428,26.34,1.352941176,89.36170211,32.91,32.61,0,0.78,1,94.09,0,3.45,3,88.33,Highly Ready,0,1.8,Low Funding Required,1,98.36,Pre-Series A,1,93.89,High Growth Potential,3,88.67,Strong Invest,3,88.0,,0,0.0,Low Risk,1,71.33,0.993
ST002,CRED,FinTech,2018,"Bengaluru, India",1,Late Stage (Series F),Private,1020.0,140.0,Series F,June 2022 (Internal extensions to 2024),9,Seed → Series A → B → C → D → E → F,"Peak XV, Tiger Global, Falcon Edge, Dragoneer, Sofina, DST Global",GIC (Singapore),6400,2473.0,-1644.0,45,1100,4500000,58,50000000,4.6,1200000,12000,22,Large,280,85,190,555,Private,0,0,0,Active,Still Private,0.0,16.28183331,26.64972359,22.94197504,18.19668588,34.52146227,22.97246712,35.07194245,30.0,8,11.5977891,25.44492059,27.04108518,27.20157872,18.32910685,29.65755185,0,0,Average,0,0,0,0,0,0,1,36.37826714,Pre-Series A,30.33049239,2,Good Fit,25.67324288,2,Invest,25.38635208,2,Ready,6.486558072,40.17916077,44.87179487,73.93975509,1,Moderate Risk,22.78820375,23.83,32.14285714,22.72,14.11764706,97.8723404,24.57,25.49,0,0.28,1,92.99,0,3.67,2,90.67,Ready,0,3.37,Low Funding Required,1,99.69,Pre-Series A,0,2.75,Low Growth Potential,2,90.33,Invest,2,90.33,,0,0.0,Low Risk,0,4.33,0.005
ST003,Groww,FinTech,2016,"Bengaluru, India",4,Late Stage (Series E),Private,393.0,251.0,Series E,Oct-21,8,Seed → Series A → B → C → D → E,"Iconiq Growth, Tiger Global, Alkeon Capital, Ribbit Capital, Peak XV",Iconiq Growth,3000,2900.0,435.0,52,2100,41000000,88,100000000,4.5,1800000,25000,25,Very Large,510,45,210,765,Private,0,0,0,Active,Still Private,0.0,10.45834809,33.52200808,60.49138003,27.00288184,63.20323481,36.96645816,60.70496084,30.0,10,16.96539251,16.34206323,35.535747,51.07017028,10.83104115,42.966951,1,0,Good,0,0,0,0,1,0,1,36.64788044,Pre-Series A,40.65250094,3,Excellent Fit,38.24958774,3,Strong Invest,34.82675436,3,Highly Ready,7.617534101,59.78312117,53.84615385,64.91196563,0,Low Risk,10.63449508,41.32,28.57142857,26.55,21.17647059,95.74468083,44.08,42.58,0,1.25,0,2.24,0,7.81,3,80.33,Highly Ready,0,13.88,Low Funding Required,1,94.22,Pre-Series A,1,100.0,High Growth Potential,3,89.0,Strong Invest,3,71.0,,0,0.0,Low Risk,0,17.33,1.0
ST004,Pine Labs,FinTech,1998,"Noida, India",3,Public (NSE/BSE),Public,1600.0,470.0,Public (IPO),Nov-25,15,Private Rounds → Series A to H → Pre-IPO → IPO Listing,"Peak XV, Mastercard, Actis, Temasek, PayPal, Alpha Wave, Invesco",Public Markets,5500,1780.0,-328.0,58,3800,1800000,22,5000000,4.0,45000,40000,14,Very Large,215,12,88,315,IPO,2025,5500,0,Public,IPO,15.0,27.37452204,32.64621375,11.33816784,26.31772334,18.94163859,11.9883761,64.24050633,24.08333333,28,39.77875634,35.17165532,38.39520368,25.5320612,19.53502563,37.35313174,1,0,Good,1,1,0,0,0,0,2,62.17112668,Series A,44.86907424,3,Excellent Fit,29.88220025,2,Invest,30.94273592,3,Highly Ready,4.651039597,52.5884017,61.53846154,67.17044413,0,Low Risk,19.57104558,24.46,53.57142857,29.07,0.529411765,85.10638296,22.9,27.83,0,0.42,0,2.73,1,96.44,3,76.0,Highly Ready,0,1.92,Low Funding Required,2,94.71,Series A,0,0.0,Low Growth Potential,3,51.0,Strong Invest,3,84.67,,0,0.0,Low Risk,0,12.0,0.996
ST005,Open,FinTech,2017,"Bengaluru, India",4,Late Stage (Series D),Private,140.0,50.0,Series D,May-22,7,Seed → Series A → B → C → D,"IIFL Finance, Tiger Global, Temasek, 3one4 Capital, Vertex Ventures",IIFL Finance,1000,71.0,-180.0,25,450,320000,12,1000000,3.8,8500,4000,30,Medium,65,4,42,111,Private,0,0,0,Active,Still Private,0.0,6.500450673,19.41348879,1.823433913,20.16210375,16.48717463,0.253164557,54.46428571,30.0,9,8.323787717,10.37051989,19.87497755,12.27171689,3.813069048,16.89774341,0,0,Weak,0,0,0,1,0,1,0,16.41935802,Seed,10.66225531,0,Poor Fit,14.03110651,0,Reject,14.88197149,0,Not Ready,0.124486823,53.98396983,19.23076923,81.66664988,3,Critical Risk,3.485254692,12.33,25.0,10.69,0.1,80.85106381,12.99,14.8,0,0.98,3,0.26,0,1.11,0,98.67,Not Ready,1,95.05,High Funding Required,0,99.47,Seed,0,0.0,Low Growth Potential,0,99.0,Reject,0,97.0,,1,100.0,High Risk,0,0.0,0.0
ST006,Jupiter,FinTech,2019,"Mumbai, India",1,Late Stage (Series C),Private,165.0,86.0,Series C,Dec 2021 (Debt extensions in 2023),6,Seed → Series A → B → C,"Tiger Global, QED Investors, Matrix Partners, Peak XV, Nubank","Tiger Global, QED Investors",710,40.0,-330.0,30,550,1200000,31,10000000,4.4,220000,8000,28,Large,110,18,75,203,Private,0,0,0,Active,Still Private,0.0,6.184289444,20.79412072,7.508261544,20.67939481,21.76464537,4.9721716,45.09803922,30.0,7,6.425372432,9.05022464,21.45686361,15.94939992,3.174733141,18.35439074,0,0,Weak,0,0,0,1,0,1,0,16.536703,Seed,12.40462111,0,Poor Fit,15.82023368,0,Reject,16.32956562,0,Not Ready,0.042378493,52.56954267,25.64102564,80.24746475,3,Critical Risk,2.448614835,14.92,21.42857143,11.55,2.588235294,93.61702126,15.86,17.47,0,1.02,3,0.31,0,1.11,0,96.67,Not Ready,1,97.0,High Funding Required,0,99.51,Seed,0,0.0,Low Growth Potential,0,97.67,Reject,0,98.67,,1,100.0,High Risk,0,0.0,0.0
ST007,Fi Money,FinTech,2019,"Bengaluru, India",2,Late Stage (Series C),Private,135.0,45.0,Series C,Jul-22,5,Seed → Series A → B → C,"Alpha Wave Global, Temasek, Peak XV, Stellaris Venture Partners",Alpha Wave Global,520,103.0,-270.0,32,400,850000,25,10000000,4.3,180000,8000,28,Large,95,14,68,177,Private,0,0,0,Active,Still Private,0.0,5.002834177,21.67247273,6.021797462,20.67939481,21.07531255,3.580751613,45.50561798,30.0,7,6.076179668,7.348062217,22.02459943,14.83875457,2.527251151,17.73422372,0,0,Weak,0,0,0,1,0,1,0,15.54220541,Seed,11.71453515,0,Poor Fit,15.34501873,0,Reject,16.03728199,0,Not Ready,0.209243809,53.13531353,28.2051282,79.9825474,3,Critical Risk,1.769436997,14.34,17.85714286,10.78,2.117647059,91.48936168,15.01,17.25,0,1.29,3,0.39,0,1.11,0,97.0,Not Ready,1,97.15,High Funding Required,0,99.5,Seed,0,0.0,Low Growth Potential,0,99.0,Reject,0,98.67,,1,100.0,High Risk,0,0.0,0.0
ST008,MobiKwik,FinTech,2009,"Gurugram, India",2,Public (IPO),Public,275.0,530.0,Public (IPO),Dec 2024 / Listed to 2026,12,Seed → Private Rounds → Public IPO Listing,"Peak XV, Bajaj Finance, Tree Line Asia, Abu Dhabi Investment Authority",Public Markets,183,1119.0,-62.0,39,950,8500000,45,100000000,4.1,1900000,35000,18,Very Large,240,38,112,390,IPO,2024,183,0,Public,IPO,15.0,13.59520571,25.79576655,32.73614292,26.79610951,45.98009875,15.53957543,51.66240409,11.677,17,19.39114907,17.07714711,26.62666415,36.77013153,5.337519598,31.30958486,0,0,Average,1,1,0,0,1,1,1,32.16588172,Pre-Series A,29.30475948,2,Good Fit,27.43762754,2,Invest,25.91069476,2,Ready,2.900278109,55.09665252,37.17948718,72.66480699,1,Moderate Risk,0.564789991,28.89,42.85714286,21.08,22.35294118,87.23404253,32.38,30.4,0,14.66,1,95.33,1,93.67,2,79.33,Ready,1,93.52,High Funding Required,1,97.46,Pre-Series A,1,99.47,High Growth Potential,2,88.33,Invest,2,57.33,,0,0.0,Low Risk,0,1.33,0.006
ST009,Blinkit,Quick Commerce,2013,"Gurugram, India",3,Late Stage (Series G),Acquired,1000.0,,M&A (By Zomato),Aug 2022 (Fully Integrated),9,Seed → Series A to G → Acquisition,"SoftBank, Tiger Global, Zomato, Blink Digital",Zomato Ltd,1400,37779.0,430.0,22,4500,14000000,92,50000000,4.6,1500000,60000,45,Very Large,890,112,340,1342,Acquisition,2022,570,Zomato,Acquired,Strategic Acquisition,9.0,15.42857143,69.44719472,40.33027332,59.65417867,39.83303305,69.03807319,57.93000745,20.08,13,63.76353314,15.78463557,57.43240729,52.66004756,34.67803207,61.83136036,1,1,Excellent,1,0,1,0,1,1,2,73.54585586,Series A,74.13702959,3,Excellent Fit,51.48968763,3,Strong Invest,50.20330215,3,Highly Ready,100.0,59.7359736,15.38461538,48.67662202,0,Low Risk,4.91510277,50.27,32.14285714,34.26,17.64705882,97.8723404,46.68,56.66,1,85.86,0,1.99,1,96.22,3,89.0,Highly Ready,1,89.46,High Funding Required,2,63.35,Series A,1,99.99,High Growth Potential,3,97.0,Strong Invest,3,89.33,,0,0.0,Low Risk,1,78.33,1.0
ST010,Zepto,Quick Commerce,2021,"Mumbai, India",2,Late Stage (Series G),Private,1600.0,340.0,Series G,Aug 2024 (Follow-on debt in 2025),8,Seed → Series A → B → C → D → E → F → G,"General Catalyst, StepStone Group, Lightspeed, Nexus Venture, Glade Brook",General Catalyst,5000,22624.0,-5905.0,18,4200,11000000,95,50000000,4.6,1100000,60000,45,Very Large,940,145,380,1465,Private,0,0,0,Active,Still Private,0.0,21.74935029,36.07892432,38.58453007,59.65417867,37.43742865,75.08988819,54.22919509,30.0,5,38.31436014,26.04620041,31.53258396,53.2868638,33.48863661,51.16779184,1,1,Excellent,0,0,0,0,1,1,2,51.57460634,Series A,53.3818497,3,Excellent Fit,40.75024516,3,Strong Invest,37.40536452,3,Highly Ready,59.85962124,0.0,10.25641026,72.37976729,1,Moderate Risk,17.78373548,42.9,28.57142857,29.19,12.94117647,97.8723404,47.16,43.07,0,1.61,1,95.42,0,11.82,3,95.0,Highly Ready,1,83.89,High Funding Required,2,94.17,Series A,1,98.15,High Growth Potential,3,92.33,Strong Invest,3,97.67,,0,0.0,Low Risk,1,86.67,1.0
