Startup_ID,Startup_Name,sector,founded_year,headquarters,founder_count,funding_stage,current_status,Total_Funding_Raised,Latest_Funding_Amount,Latest_Funding_Round,Latest_Funding_Date,Number_of_Funding_Rounds,Funding_Timeline,Investors_List,Last_Funding_Lead_Investor,Valuation,Revenue,Profit_or_Loss,Gross_Margin,Employee_Count,Monthly_Visits,Google_Trends_Score,App_Downloads,App_Rating,App_Reviews_Count,TAM,TAM_Growth_Rate,Market_Size_Category,Positive_News_Count,Negative_News_Count,Neutral_News_Count,Total_News_Count,Historical_Exit_Type,Exit_Year,Exit_Valuation_USD_Million,Acquirer_Name,Exit_Status,Exit_Reason,Years_to_Exit,Funding_Score,Financial_Health_Score,Growth_Score,Market_Opportunity_Score,Popularity_Score,Media_Buzz_Score,Sentiment_Score,Exit_Score,Startup_Age,Startup_Maturity_Score,Investor_Confidence_Score,Operational_Strength_Score,Competitive_Strength_Score,Valuation_Score,Overall_Startup_Score,Success_Prediction,Success_Probability,Unicorn_Prediction,Unicorn_Probability,Risk_Score,Risk_Prediction,Risk_Probability,Growth_Prediction,Growth_Probability,IPO_Prediction,IPO_Probability,Acquisition_Prediction,Acquisition_Probability,Exit_Prediction,Exit_Probability,Portfolio_Fit_Prediction,Portfolio_Fit_Probability,Portfolio_Fit_Class_0_Probability,Portfolio_Fit_Class_1_Probability,Portfolio_Fit_Class_2_Probability,Portfolio_Fit_Class_3_Probability,Investment_Recommendation_Prediction,Investment_Recommendation_Probability,Investment_Recommendation_Class_0_Probability,Investment_Recommendation_Class_1_Probability,Investment_Recommendation_Class_2_Probability,Investment_Recommendation_Class_3_Probability,Funding_Stage_Prediction,Funding_Stage_Name,Funding_Stage_Probability,Funding_Stage_Seed_Probability,Funding_Stage_Pre-Series A_Probability,Funding_Stage_Series A_Probability,Funding_Stage_Series B+_Probability,Funding_Requirement_Prediction,Funding_Requirement_Probability,Funding_Requirement_Class_0_Probability,Funding_Requirement_Class_1_Probability,Funding_Readiness_Prediction,Funding_Readiness_Name,Funding_Readiness_Probability,Funding_Readiness_Not Ready_Probability,Funding_Readiness_Early Preparation_Probability,Funding_Readiness_Ready_Probability,Funding_Readiness_Highly Ready_Probability,Competitive_Survival_Probability,Follow_On_Funding_Probability,Market_Leadership_Probability,Valuation_Growth_Prediction
ST101,CarTrade,Car Selling Platform / AutoTech,2009,"Mumbai, India",3,Public (NSE/BSE),Public,307.0,2000.0,IPO,Aug-21,10.0,Series A → B → C → D → E → IPO,"Warburg Pincus, Temasek, Tiger Global, March Capital",Public Issue / Market Cap,3.0,562.0,38.0,68.0,1200.0,18000000.0,62,10000000.0,4.3,180000.0,32000.0,16.0,Very Large,248,15,115,378,IPO,2021,950,Public Issue / NSE,Public,Listed on Public Stock Exchange,12,43.32740297915314,51.26754997970368,43.27859237536656,49.69111969111968,35.81428571428572,64.53435569755057,61.47757255936676,39.25,17,45.52730414746543,43.21360394727276,54.85182417325206,52.0511083836102,18.568689228538343,55.07016054064072,1,100.0,1,82.33,0,0,0.0,1,99.97,1,59.63,0,1.86,1,62.33,1,34.67,32.67,34.67,18.33,14.33,1,30.33,27.33,30.33,28.67,13.67,2,Series A,51.34,38.57,6.75,51.34,3.34,0,89.52,89.52,10.48,1,Early Preparation,33.33,26.0,33.33,25.33,15.33,50.86,46.03,46.27,48.05
ST102,Droom,Car Selling Platform / AutoTech,2014,"Gurugram, India",1,Late Stage (Series F),Private,341.0,20.0,Series F,Jul-21,9.0,Seed → Series A → B → C → D → E → F,"Lightbox, Beenext, Integrated Asset Management, Digital Garage",57 Stars,1200.0,280.0,-135.0,22.0,850.0,8500000.0,48,10000000.0,4.1,210000.0,32000.0,16.0,Very Large,106,15,43,164,Private,0,0,0,Active,Still Private,0,27.938982363124865,26.88667038765984,25.96370967741935,49.69111969111968,20.807142857142857,10.977465388711392,55.15151515151515,30.0,12,27.90092165898617,46.21325583795489,29.97538006507919,38.0607361716628,28.819863213095086,38.10098432570239,1,100.0,0,24.67,0,0,0.0,0,0.0,0,3.78,0,0.55,0,4.43,0,34.67,34.67,33.67,19.0,12.67,0,33.33,33.33,32.33,22.0,12.33,2,Series A,63.08,25.08,10.13,63.08,1.71,0,98.57,98.57,1.43,0,Not Ready,35.67,35.67,34.33,18.33,11.67,33.0,32.2,37.36,34.93
ST103,Park+,AutoTech / Car Services,2019,"Gurugram, India",2,Late Stage (Series C),Private,54.0,17.0,Series C,Dec-22,5.0,Seed → Series A → B → C,"Peak XV, Matrix Partners India, Epiq Capital, Union Square",Epiq Capital,340.0,140.0,-85.0,35.0,950.0,4200000.0,54,10000000.0,4.5,280000.0,12000.0,20.0,Large,169,11,78,258,Private,0,0,0,Active,Still Private,0,10.48709334198947,30.358800994519992,22.597507331378296,20.42471042471042,26.6,34.56247071352502,61.003861003861005,30.0,7,16.404377880184335,18.750290210098868,34.967671962261925,18.803778966028343,9.520978438382768,26.59363840868803,0,0.03,0,0.67,0,0,0.0,0,0.0,0,5.6,0,0.52,0,4.17,1,44.0,39.0,44.0,14.67,2.33,1,42.67,39.0,42.67,15.67,2.67,1,Pre-Series A,63.21,34.98,63.21,1.03,0.78,0,99.79,99.79,0.21,0,Not Ready,42.0,42.0,39.33,17.67,1.0,25.66,20.79,21.21,23.38
ST104,OTO Capital,AutoTech / Vehicle Financing,2018,"Bengaluru, India",2,Growth Stage (Series A),Private,18.0,10.0,Series A,Feb-24,4.0,Seed → Pre-Series A → Series A,"Matrix Partners India, Prime Venture Partners, Venture Catalysts",Stride Ventures,75.0,45.0,-28.0,28.0,320.0,850000.0,38,1000000.0,4.4,35000.0,15000.0,22.0,Large,169,25,40,234,Private,0,0,0,Active,Still Private,0,7.417407848229099,26.93409719403288,8.009127565982405,30.386100386100384,16.410714285714302,30.082470713525023,61.27659574468085,30.0,8,11.262960829493087,12.087663896331838,28.07220203274256,15.380118624528674,3.794138320714939,22.082557375595428,0,0.0,0,0.0,0,0,0.03,0,0.0,0,0.64,0,0.27,0,1.55,1,49.0,41.0,49.0,7.33,2.67,0,54.33,54.33,35.33,8.33,2.0,0,Seed,75.79,75.79,22.79,0.78,0.64,0,84.27,84.27,15.73,0,Not Ready,48.33,48.33,40.0,11.67,0.0,21.2,14.64,18.23,18.79
ST105,GoMechanic,AutoTech / Auto Services,2016,"Gurugram, India",4,Late Stage (Series C),Acquired,62.0,250.0,Series C,Mar-23,6.0,Seed → Series A → B → C,"Peak XV, Tiger Global, Chiratae Ventures, Orios Venture",Lifelong Group (Acquirer),30.0,210.0,-42.0,18.0,600.0,2100000.0,42,5000000.0,4.2,120000.0,18000.0,14.0,Large,77,228,52,357,Acquired,2023,30,Lifelong Group / Servizzy,Acquired,Distressed Acquisition following Governance Audit,7,14.218529539060809,25.481371777958188,13.48717008797654,18.91891891891892,14.435714285714289,44.2245793397231,-42.17877094972067,17.05,10,20.320852534562206,19.05312986820788,27.39467822957109,13.382324369087268,6.76002081645688,17.687839493275053,0,0.01,0,3.0,1,1,100.0,0,0.0,1,95.48,0,6.56,1,87.88,0,45.67,45.67,38.0,13.0,3.33,0,46.67,46.67,30.0,19.0,4.33,0,Seed,82.9,82.9,12.13,3.47,1.5,0,82.58,82.58,17.42,0,Not Ready,42.0,42.0,35.0,20.0,3.0,19.78,18.89,15.79,18.21
ST106,Kuwy,AutoTech / Auto Fintech,2017,"Chennai, India",2,Growth Stage (Series A),Acquired,12.0,5.0,Series A,Aug-21,3.0,Seed → Series A → Corporate Acq,"Volkswagen Finance India, Nordea Finance",Volkswagen Finance,45.0,65.0,4.0,32.0,220.0,450000.0,28,1000000.0,4.2,15000.0,15000.0,22.0,Large,78,10,48,136,Acquired,2021,45,Volkswagen Finance India,Acquired,Strategic Majority Stake Acquisition by Automotive OEM,4,5.487870590781217,29.20722232088492,4.591239002932551,30.386100386100384,10.867857142857144,3.0670926517571884,49.63503649635037,23.575000000000003,9,12.688076036866358,8.887389783773681,29.57516586927202,12.37977565705657,2.9501287154162514,18.173830441703537,0,0.0,0,0.0,0,0,0.44,0,0.0,0,7.84,0,21.69,1,69.87,0,45.0,45.0,44.33,7.67,3.0,0,56.67,56.67,31.33,9.33,2.67,0,Seed,97.9,97.9,1.44,0.38,0.28,0,94.09,94.09,5.91,0,Not Ready,50.67,50.67,35.33,12.0,2.0,20.66,13.36,15.65,17.52
ST107,Fixcraft,AutoTech / Auto Services,2018,"Gurugram, India",2,Growth Stage (Series A),Private,5.0,1.2,Pre-Series A,Mar-23,3.0,Seed → Angel → Pre-Series A,"IPV, Mango Accelerator, Angel Investors",Inflection Point Ventures,20.0,22.0,-8.0,25.0,180.0,320000.0,25,500000.0,4.3,12000.0,18000.0,14.0,Large,104,24,73,201,Private,0,0,0,Active,Still Private,0,5.196588941787493,25.68472828293079,3.338856304985337,18.91891891891892,13.061428571428571,17.69243876464324,39.6039603960396,30.0,8,9.620622119815666,8.415039549320788,26.063357315188856,6.8431569254727735,2.090240362895688,15.809687944990053,0,0.0,0,0.33,1,1,99.93,0,0.0,0,0.52,0,0.34,0,1.11,1,45.0,44.67,45.0,7.0,3.33,0,62.33,62.33,28.67,7.0,2.0,0,Seed,96.84,96.84,2.14,0.66,0.35,1,88.73,11.27,88.73,0,Not Ready,55.0,55.0,32.67,12.33,0.0,16.08,11.91,10.85,13.09
ST108,Cardekho Gaadi,Car Selling Platform / AutoTech,2019,"Jaipur, India",2,Growth Stage (Backed by Parent),Subsidiary,,,Corporate Internal,Jan-19,,Parent Capital Infusion,CarDekho Group (Girnar Software),CarDekho (Parent),,320.0,-45.0,20.0,1100.0,12000000.0,58,10000000.0,4.3,190000.0,32000.0,16.0,Very Large,78,25,47,150,Subsidiary,2019,0,CarDekho Group (Girnar Software),Subsidiary,Built as Internal Vertical under CarDekho,0,0.0,27.929774710777348,34.22434017595308,49.69111969111968,29.442857142857143,5.680425985090521,35.099337748344375,30.0,7,20.105990783410142,0.0,32.38138761400315,34.27183635166958,3.0,27.149446689020458,0,0.21,0,2.33,1,1,65.33,0,0.01,0,0.42,0,0.57,0,2.9,0,43.33,43.33,40.67,11.0,5.0,0,42.67,42.67,36.0,17.33,4.0,0,Seed,97.0,97.0,2.31,0.4,0.28,0,76.41,76.41,23.59,0,Not Ready,41.67,41.67,39.0,15.67,3.67,33.84,13.96,34.74,32.55
ST109,Kuku FM,Audio / MediaTech,2018,"Mumbai, India",3,Late Stage (Series C),Private,72.0,25.0,Series C,Sep-23,5.0,Seed → Series A → B → C,"BGV, Vertex Ventures, Elevation Capital, Paramark Ventures",FundersClub / BGV,250.0,88.0,-115.0,65.0,480.0,6500000.0,72,50000000.0,4.4,1100000.0,8000.0,24.0,Medium,359,28,108,495,Private,0,0,0,Active,Still Private,0,11.222686287239414,40.68898416886543,38.53115835777125,21.428571428571423,43.25000000000002,97.01333333333334,66.73387096774194,30.0,8,13.34884792626728,18.141569302509136,42.59059707209124,28.68889735878219,7.935000337529079,35.981157376333286,1,99.91,0,18.33,0,0,0.0,1,100.0,0,16.05,0,2.03,0,12.76,1,44.33,34.33,44.33,15.33,6.0,0,32.67,32.67,32.67,26.67,8.0,0,Seed,52.76,52.76,41.7,4.16,1.38,0,70.76,70.76,29.24,1,Early Preparation,39.33,34.0,39.33,21.67,5.0,35.22,26.08,29.61,32.23
ST110,Pocket FM,Audio / MediaTech,2018,"Bengaluru, India",3,Late Stage (Series D),Private,196.0,103.0,Series D,Mar-24,6.0,Seed → Series A → B → C → D,"Lightspeed, StepStone Group, Tanglin Venture Partners",Lightspeed Venture Partners,750.0,650.0,-180.0,70.0,820.0,15000000.0,81,100000000.0,4.5,2200000.0,12000.0,28.0,Large,334,33,115,482,Private,0,0,0,Active,Still Private,0,18.13013417009305,50.53579130302415,68.39516129032258,37.567567567567565,76.14285714285714,92.19050053248137,62.31884057971014,30.0,8,23.66417050691244,29.91719334184945,51.11845259334673,56.13629946966914,22.669993729748256,52.56347858719882,1,100.0,1,85.67,0,0,0.0,1,100.0,0,11.49,0,1.22,0,11.57,1,36.67,31.33,36.67,16.67,15.33,1,29.67,26.67,29.67,29.33,14.33,0,Seed,60.82,60.82,18.26,14.65,6.27,1,61.49,38.51,61.49,1,Early Preparation,32.67,27.67,32.67,21.0,18.67,53.71,38.4,53.4,52.11
ST111,Yulu,CleanTech / Mobility,2017,"Bengaluru, India",4,Late Stage (Series B),Private,124.0,19.2,Series B Ext,Feb-24,8.0,Seed → Series A → B → B Ext,"Magna International, Bajaj Auto, Wavemaker Partners",Magna International,220.0,123.0,-95.0,28.0,650.0,1800000.0,52,10000000.0,4.3,150000.0,10000.0,25.0,Medium,178,35,35,248,Private,0,0,0,Active,Still Private,0,18.12875640193321,27.268942180840263,17.207478005865102,27.35521235521235,18.285714285714285,33.55842385516507,57.42971887550201,30.0,9,17.574366359447,27.014389513750416,30.04857927761445,20.76690982398296,9.934829560796777,27.633715681744032,0,0.08,0,6.0,0,0,0.0,0,0.0,0,5.52,0,0.39,0,2.45,1,41.67,35.67,41.67,18.0,4.67,0,39.33,39.33,38.0,18.67,4.0,1,Pre-Series A,65.53,31.44,65.53,2.09,0.94,0,99.64,99.64,0.36,0,Not Ready,41.67,41.67,38.0,17.33,3.0,24.37,23.23,22.28,23.41
ST112,ShareChat,Social Media / Content,2015,"Bengaluru, India",3,Late Stage (Series H),Private,1200.0,49.0,Series H / Debt,Apr-24,12.0,Seed → Series A → B → C → D → E → F → G → H,"Lightspeed, Temasek, Google, Tiger Global, Moore Strategic","Lightspeed, Temasek",1500.0,540.0,-920.0,42.0,1400.0,28000000.0,78,100000000.0,4.2,3500000.0,20000.0,18.0,Large,277,55,179,511,Private,0,0,0,Active,Still Private,0,65.37113178965592,28.28527755226304,87.70527859237535,31.274131274131268,89.99999999999999,92.1405750798722,43.359375,30.0,11,34.33064516129032,77.64705882352942,33.297374326456584,77.27272727272727,47.12132352941177,65.84603669450212,1,100.0,1,94.0,0,0,0.0,1,100.0,0,8.65,0,1.42,0,26.63,1,33.67,31.67,33.67,18.33,16.33,1,29.33,28.0,29.33,28.33,14.33,0,Seed,43.56,43.56,3.95,39.39,13.1,1,65.03,34.97,65.03,1,Early Preparation,33.0,26.67,33.0,21.33,19.0,53.2,61.17,67.51,59.24
ST113,CleverTap,SaaS / MarTech,2013,"Mumbai, India",3,Late Stage (Series D),Private,182.0,105.0,Series D,Aug-22,6.0,Seed → Series A → B → C → D,"CDPQ, Tiger Global, Peak XV, Accel",CDPQ,775.0,380.0,-62.0,72.0,750.0,1200000.0,45,2.0,4.6,5000.0,25000.0,20.0,Very Large,129,18,52,199,Private,0,0,0,Active,Still Private,0,17.62028240640554,48.6430003044449,12.511730805278592,45.01930501930501,21.31428631428572,19.715271565495208,55.50000000000001,30.0,13,30.32603686635944,29.899337339543862,50.46154869154167,28.1711033425984,20.35040396388958,36.73416511816056,1,100.0,0,12.0,0,0,0.0,0,0.0,0,45.9,0,0.36,0,18.79,1,38.33,32.67,38.33,18.33,10.67,0,37.0,37.0,30.67,23.0,9.33,1,Pre-Series A,49.44,31.05,49.44,18.06,1.46,0,99.44,99.44,0.56,0,Not Ready,37.33,37.33,35.0,21.33,6.33,37.08,29.41,29.24,32.22
ST114,Cult.fit,HealthTech / Fitness,2016,"Bengaluru, India",2,Late Stage (Series F),Private,670.0,10.2,Series F Ext,Feb-24,11.0,Series A → B → C → D → E → F,"Zomato, Temasek, Kalaari Capital, Tata Digital, Chiratae",Valecha Investments,1500.0,690.0,-325.0,38.0,1800.0,5800000.0,68,10000000.0,4.6,450000.0,15000.0,18.0,Large,199,58,133,390,Private,0,0,0,Active,Still Private,0,43.53558933852702,36.940170235437385,33.26319648093842,21.81467181467181,31.785714285714285,62.07787007454738,36.0613810741688,30.0,10,37.93375576036866,62.61942265650964,43.59541217092126,34.39191793762097,41.84708877923521,45.42089524720614,1,100.0,0,46.0,0,0,0.0,0,9.67,1,64.25,0,0.52,0,33.02,1,34.67,31.33,34.67,18.67,15.33,1,30.67,29.33,30.67,27.67,12.33,2,Series A,67.47,22.81,7.3,67.47,2.42,0,97.13,97.13,2.87,1,Early Preparation,32.67,29.0,32.67,26.67,11.67,35.44,45.45,32.82,35.33
